"Subject"	"Stim"	"Exp"	"Letter"	"Direction"	"Shot"	"Time"	"Answer"	"Video"	"count_ExperimentLoop"	"item"	"repeat."	"response"	"RT"	"time_ScreenForResponse"	"correct"
"2137"	"12"	"157"	"2"	"x"	"4"	"13"	"1"	0	"S13C4T1"	0	NA	NA	"m"	982	82298	""
"2257"	"13"	"97"	"2"	"x"	"4"	"13"	"1"	1	"S13C4T1"	0	NA	NA	"x"	10462	33109	""
"2357"	"14"	"17"	"2"	"x"	"4"	"13"	"1"	1	"S13C4T1"	0	NA	NA	"x"	3421	4939	"t1"
"2696"	"15"	"176"	"2"	"x"	"4"	"13"	"1"	0	"S13C4T1"	0	NA	NA	"m"	505	13435	""
"2717"	"16"	"17"	"2"	"x"	"4"	"13"	"1"	1	"S13C4T1"	0	NA	NA	"x"	3421	4939	"t1"
"3036"	"17"	"156"	"2"	"x"	"4"	"13"	"1"	1	"S13C4T1"	0	NA	NA	"x"	940	81786	"t1"
"3152"	"18"	"92"	"2"	"x"	"4"	"13"	"1"	0	"S13C4T1"	0	NA	NA	"m"	1084	3832	""
"3326"	"19"	"86"	"2"	"x"	"4"	"13"	"1"	1	"S13C4T1"	0	NA	NA	"x"	365	43024	"t1"
"3469"	"20"	"49"	"2"	"x"	"4"	"13"	"1"	1	"S13C4T1"	0	NA	NA	"x"	1178	22706	"t1"
"38"	"1"	"38"	"1"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	741	22700	"t2"
"354"	"2"	"174"	"1"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	1293	19394	"t2"
"389"	"3"	"29"	"1"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"q"	424	20948	""
"624"	"4"	"84"	"1"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"m"	1514	60402	""
"829"	"5"	"109"	"1"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	897	15911	"t2"
"1021"	"6"	"121"	"1"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"q"	1025	9321	""
"1086"	"7"	"6"	"1"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"m"	1387	14736	""
"1341"	"8"	"81"	"1"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	722	32760	"t2"
"1478"	"9"	"38"	"1"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	741	22700	"t2"
"1637"	"10"	"17"	"1"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"m"	2215	63591	""
"1874"	"11"	"74"	"2"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"q"	1272	52040	""
"2023"	"12"	"43"	"2"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"p"	269	82298	""
"2275"	"13"	"115"	"2"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"m"	1650	33109	""
"2487"	"14"	"147"	"2"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	5142	4939	"t2"
"2566"	"15"	"46"	"2"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	457	13435	"t2"
"2847"	"16"	"147"	"2"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	5142	4939	"t2"
"3023"	"17"	"143"	"2"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"m"	1153	81786	""
"3138"	"18"	"78"	"2"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"p"	3801	3832	""
"3341"	"19"	"101"	"2"	"x"	"4"	"13"	"2"	1	"S13C4T2"	0	NA	NA	"x"	76	43024	"t2"
"3526"	"20"	"106"	"2"	"x"	"4"	"13"	"2"	0	"S13C4T2"	0	NA	NA	"p"	899	22706	""
"163"	"1"	"163"	"1"	"x"	"4"	"13"	"3"	1	"S13C4T3"	0	NA	NA	"x"	431	22700	"t3"
"338"	"2"	"158"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	747	19394	""
"462"	"3"	"102"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	464	20948	""
"657"	"4"	"117"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	268	60402	""
"814"	"5"	"94"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"m"	1016	15911	""
"1030"	"6"	"130"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	246	9321	""
"1254"	"7"	"174"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"m"	1050	14736	""
"1307"	"8"	"47"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	560	32760	""
"1603"	"9"	"163"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	431	22700	""
"1745"	"10"	"125"	"1"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	286	63591	""
"1896"	"11"	"96"	"2"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"p"	853	52040	""
"2012"	"12"	"32"	"2"	"x"	"4"	"13"	"3"	1	"S13C4T3"	0	NA	NA	"x"	633	82298	"t3"
"2189"	"13"	"29"	"2"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	845	33109	""
"2406"	"14"	"66"	"2"	"x"	"4"	"13"	"3"	1	"S13C4T3"	0	NA	NA	"x"	2824	4939	"t3"
"2662"	"15"	"142"	"2"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	532	13435	""
"2766"	"16"	"66"	"2"	"x"	"4"	"13"	"3"	1	"S13C4T3"	0	NA	NA	"x"	2824	4939	"t3"
"2889"	"17"	"9"	"2"	"x"	"4"	"13"	"3"	1	"S13C4T3"	0	NA	NA	"x"	1383	81786	"t3"
"3139"	"18"	"79"	"2"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"m"	672	3832	""
"3354"	"19"	"114"	"2"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	68	43024	""
"3589"	"20"	"169"	"2"	"x"	"4"	"13"	"3"	0	"S13C4T3"	0	NA	NA	"q"	450	22706	""
"169"	"1"	"169"	"1"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	513	22700	""
"222"	"2"	"42"	"1"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	1020	19394	""
"459"	"3"	"99"	"1"	"p"	"1"	"14"	"1"	1	"S14C1T1"	0	NA	NA	"p"	593	20948	"t1"
"585"	"4"	"45"	"1"	"p"	"1"	"14"	"1"	1	"S14C1T1"	0	NA	NA	"p"	1557	60402	"t1"
"885"	"5"	"165"	"1"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	1068	15911	""
"914"	"6"	"14"	"1"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"x"	1365	9321	""
"1159"	"7"	"79"	"1"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	2001	14736	""
"1366"	"8"	"106"	"1"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"m"	843	32760	""
"1609"	"9"	"169"	"1"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	513	22700	""
"1780"	"10"	"160"	"1"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"m"	1710	63591	""
"1851"	"11"	"51"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	6046	52040	""
"2076"	"12"	"96"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"m"	485	82298	""
"2162"	"13"	"2"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"m"	2289	33109	""
"2460"	"14"	"120"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	6264	4939	""
"2597"	"15"	"77"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	676	13435	""
"2820"	"16"	"120"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	6264	4939	""
"2884"	"17"	"4"	"2"	"p"	"1"	"14"	"1"	1	"S14C1T1"	0	NA	NA	"p"	948	81786	"t1"
"3118"	"18"	"58"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"m"	740	3832	""
"3400"	"19"	"160"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"q"	404	43024	""
"3572"	"20"	"152"	"2"	"p"	"1"	"14"	"1"	0	"S14C1T1"	0	NA	NA	"m"	1600	22706	""
"59"	"1"	"59"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	538	22700	"t2"
"302"	"2"	"122"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	1744	19394	"t2"
"495"	"3"	"135"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	593	20948	"t2"
"697"	"4"	"157"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	774	60402	"t2"
"845"	"5"	"125"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	1105	15911	"t2"
"909"	"6"	"9"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	625	9321	"t2"
"1179"	"7"	"99"	"1"	"p"	"1"	"14"	"2"	0	"S14C1T2"	0	NA	NA	"m"	1465	14736	""
"1296"	"8"	"36"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	1191	32760	"t2"
"1499"	"9"	"59"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	538	22700	"t2"
"1739"	"10"	"119"	"1"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	685	63591	"t2"
"1880"	"11"	"80"	"2"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	1397	52040	""
"2025"	"12"	"45"	"2"	"p"	"1"	"14"	"2"	0	"S14C1T2"	0	NA	NA	"q"	1489	82298	""
"2167"	"13"	"7"	"2"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	1253	33109	""
"2379"	"14"	"39"	"2"	"p"	"1"	"14"	"2"	0	"S14C1T2"	0	NA	NA	"m"	3150	4939	""
"2536"	"15"	"16"	"2"	"p"	"1"	"14"	"2"	0	"S14C1T2"	0	NA	NA	"x"	771	13435	""
"2739"	"16"	"39"	"2"	"p"	"1"	"14"	"2"	0	"S14C1T2"	0	NA	NA	"m"	3150	4939	""
"2937"	"17"	"57"	"2"	"p"	"1"	"14"	"2"	1	"S14C1T2"	0	NA	NA	"p"	1511	81786	"t2"
"3172"	"18"	"112"	"2"	"p"	"1"	"14"	"2"	0	"S14C1T2"	0	NA	NA	"x"	756	3832	""
"3329"	"19"	"89"	"2"	"p"	"1"	"14"	"2"	0	"S14C1T2"	0	NA	NA	"m"	505	43024	""
"3438"	"20"	"18"	"2"	"p"	"1"	"14"	"2"	0	"S14C1T2"	0	NA	NA	"m"	1073	22706	""
"121"	"1"	"121"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	335	22700	"t3"
"202"	"2"	"22"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	773	19394	"t3"
"470"	"3"	"110"	"1"	"p"	"1"	"14"	"3"	0	"S14C1T3"	0	NA	NA	"x"	1310	20948	""
"681"	"4"	"141"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	458	60402	"t3"
"863"	"5"	"143"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	1052	15911	"t3"
"1073"	"6"	"173"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	191	9321	"t3"
"1224"	"7"	"144"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	1445	14736	""
"1412"	"8"	"152"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	669	32760	"t3"
"1561"	"9"	"121"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	335	22700	"t3"
"1701"	"10"	"81"	"1"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	1520	63591	"t3"
"1837"	"11"	"37"	"2"	"p"	"1"	"14"	"3"	0	"S14C1T3"	0	NA	NA	"m"	7670	52040	""
"2106"	"12"	"126"	"2"	"p"	"1"	"14"	"3"	0	"S14C1T3"	0	NA	NA	"m"	1855	82298	""
"2168"	"13"	"8"	"2"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	1102	33109	""
"2478"	"14"	"138"	"2"	"p"	"1"	"14"	"3"	0	"S14C1T3"	0	NA	NA	"m"	2309	4939	""
"2593"	"15"	"73"	"2"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	349	13435	"t3"
"2838"	"16"	"138"	"2"	"p"	"1"	"14"	"3"	0	"S14C1T3"	0	NA	NA	"m"	2309	4939	""
"2915"	"17"	"35"	"2"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	1350	81786	"t3"
"3132"	"18"	"72"	"2"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	576	3832	"t3"
"3307"	"19"	"67"	"2"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	518	43024	"t3"
"3420"	"19"	"180"	"2"	"p"	"1"	"14"	"3"	1	"S14C1T3"	0	NA	NA	"p"	1000	22706	"t3"
"131"	"1"	"131"	"1"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"x"	545	22700	""
"274"	"2"	"94"	"1"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"x"	582	19394	""
"407"	"3"	"47"	"1"	"q"	"2"	"14"	"1"	1	"S14C2T1"	0	NA	NA	"q"	482	20948	"t1"
"718"	"4"	"178"	"1"	"q"	"2"	"14"	"1"	1	"S14C2T1"	0	NA	NA	"q"	651	60402	"t1"
"774"	"5"	"54"	"1"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"x"	1114	15911	""
"935"	"6"	"35"	"1"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"p"	2444	9321	""
"1258"	"7"	"178"	"1"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"m"	2455	14736	""
"1281"	"8"	"21"	"1"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"m"	1041	32760	""
"1571"	"9"	"131"	"1"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"x"	545	22700	""
"1767"	"10"	"147"	"1"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"x"	608	63591	""
"1956"	"11"	"156"	"2"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"m"	1237	52040	""
"2071"	"12"	"91"	"2"	"q"	"2"	"14"	"1"	1	"S14C2T1"	0	NA	NA	"q"	686	82298	"t1"
"2178"	"13"	"18"	"2"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"x"	1310	33109	""
"2489"	"14"	"149"	"2"	"q"	"2"	"14"	"1"	1	"S14C2T1"	0	NA	NA	"q"	4138	4939	"t1"
"2603"	"15"	"83"	"2"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"x"	490	13435	""
"2849"	"16"	"149"	"2"	"q"	"2"	"14"	"1"	1	"S14C2T1"	0	NA	NA	"q"	4138	4939	"t1"
"2895"	"17"	"15"	"2"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"m"	4424	81786	""
"3096"	"18"	"36"	"2"	"q"	"2"	"14"	"1"	0	"S14C2T1"	0	NA	NA	"m"	636	3832	""
"3291"	"19"	"51"	"2"	"q"	"2"	"14"	"1"	1	"S14C2T1"	0	NA	NA	"q"	421	43024	"t1"
"3429"	"20"	"9"	"2"	"q"	"2"	"14"	"1"	1	"S14C2T1"	0	NA	NA	"q"	1003	22706	"t1"
"118"	"1"	"118"	"1"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	459	22700	"t2"
"258"	"2"	"78"	"1"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"x"	1995	19394	""
"424"	"3"	"64"	"1"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	388	20948	"t2"
"707"	"4"	"167"	"1"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"p"	727	60402	""
"783"	"5"	"63"	"1"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"x"	1079	15911	""
"998"	"6"	"98"	"1"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	1088	9321	"t2"
"1121"	"7"	"41"	"1"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	792	14736	""
"1277"	"8"	"17"	"1"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"x"	873	32760	""
"1558"	"9"	"118"	"1"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	459	22700	"t2"
"1790"	"10"	"170"	"1"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	414	63591	"t2"
"1807"	"11"	"7"	"2"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	3881	52040	"t2"
"1989"	"12"	"9"	"2"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"p"	3592	82298	""
"2235"	"13"	"75"	"2"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"p"	1122	33109	""
"2470"	"14"	"130"	"2"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	2375	4939	"t2"
"2531"	"15"	"11"	"2"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"x"	562	13435	""
"2830"	"16"	"130"	"2"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	2375	4939	"t2"
"2928"	"17"	"48"	"2"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"x"	1683	81786	""
"3180"	"18"	"120"	"2"	"q"	"2"	"14"	"2"	1	"S14C2T2"	0	NA	NA	"q"	1349	3832	"t2"
"3380"	"19"	"140"	"2"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"x"	702	43024	""
"3515"	"20"	"95"	"2"	"q"	"2"	"14"	"2"	0	"S14C2T2"	0	NA	NA	"m"	1492	22706	""
"107"	"1"	"107"	"1"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	721	22700	"t3"
"299"	"2"	"119"	"1"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"x"	404	19394	""
"450"	"3"	"90"	"1"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"x"	1015	20948	""
"605"	"4"	"65"	"1"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	411	60402	"t3"
"803"	"5"	"83"	"1"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"x"	1254	15911	""
"1028"	"6"	"128"	"1"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	529	9321	"t3"
"1139"	"7"	"59"	"1"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	514	14736	""
"1344"	"8"	"84"	"1"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"p"	794	32760	""
"1547"	"9"	"107"	"1"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	721	22700	"t3"
"1777"	"10"	"157"	"1"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	567	63591	"t3"
"1806"	"11"	"6"	"2"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"x"	3704	52040	""
"2146"	"12"	"166"	"2"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"x"	2519	82298	""
"2325"	"13"	"165"	"2"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	2611	33109	""
"2509"	"14"	"169"	"2"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	2033	4939	"t3"
"2655"	"15"	"135"	"2"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"p"	460	13435	""
"2869"	"16"	"169"	"2"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	2033	4939	"t3"
"3000"	"17"	"120"	"2"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	824	81786	"t3"
"3162"	"18"	"102"	"2"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"m"	618	3832	""
"3404"	"19"	"164"	"2"	"q"	"2"	"14"	"3"	0	"S14C2T3"	0	NA	NA	"p"	1051	43024	""
"3561"	"20"	"141"	"2"	"q"	"2"	"14"	"3"	1	"S14C2T3"	0	NA	NA	"q"	835	22706	"t3"
"147"	"1"	"147"	"1"	"m"	"3"	"14"	"1"	1	"S14C3T1"	0	NA	NA	"m"	620	22700	"t1"
"210"	"2"	"30"	"1"	"m"	"3"	"14"	"1"	1	"S14C3T1"	0	NA	NA	"m"	1827	19394	"t1"
"390"	"3"	"30"	"1"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"q"	501	20948	""
"679"	"4"	"139"	"1"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"q"	889	60402	""
"730"	"5"	"10"	"1"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"x"	1658	15911	""
"1023"	"6"	"123"	"1"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"x"	1757	9321	""
"1150"	"7"	"70"	"1"	"m"	"3"	"14"	"1"	1	"S14C3T1"	0	NA	NA	"m"	1022	14736	""
"1405"	"8"	"145"	"1"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"x"	947	32760	""
"1587"	"9"	"147"	"1"	"m"	"3"	"14"	"1"	1	"S14C3T1"	0	NA	NA	"m"	620	22700	"t1"
"1669"	"10"	"49"	"1"	"m"	"3"	"14"	"1"	1	"S14C3T1"	0	NA	NA	"m"	1830	63591	"t1"
"1829"	"11"	"29"	"2"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"p"	3429	52040	""
"2060"	"12"	"80"	"2"	"m"	"3"	"14"	"1"	1	"S14C3T1"	0	NA	NA	"m"	667	82298	"t1"
"2287"	"13"	"127"	"2"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"x"	1137	33109	""
"2490"	"14"	"150"	"2"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"p"	3246	4939	""
"2643"	"15"	"123"	"2"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"x"	991	13435	""
"2850"	"16"	"150"	"2"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"p"	3246	4939	""
"2882"	"17"	"2"	"2"	"m"	"3"	"14"	"1"	1	"S14C3T1"	0	NA	NA	"m"	2067	81786	"t1"
"3062"	"18"	"2"	"2"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"p"	1963	3832	""
"3302"	"19"	"62"	"2"	"m"	"3"	"14"	"1"	1	"S14C3T1"	0	NA	NA	"m"	417	43024	"t1"
"3506"	"20"	"86"	"2"	"m"	"3"	"14"	"1"	0	"S14C3T1"	0	NA	NA	"x"	904	22706	""
"134"	"1"	"134"	"1"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	504	22700	"t2"
"224"	"2"	"44"	"1"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"q"	988	19394	""
"445"	"3"	"85"	"1"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"p"	401	20948	""
"662"	"4"	"122"	"1"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"p"	732	60402	""
"874"	"5"	"154"	"1"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"x"	953	15911	""
"940"	"6"	"40"	"1"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"p"	776	9321	""
"1199"	"7"	"119"	"1"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"p"	755	14736	""
"1325"	"8"	"65"	"1"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"x"	935	32760	""
"1574"	"9"	"134"	"1"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	504	22700	"t2"
"1674"	"10"	"54"	"1"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	1701	63591	"t2"
"1864"	"11"	"64"	"2"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	824	52040	"t2"
"2119"	"12"	"139"	"2"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	995	82298	"t2"
"2172"	"13"	"12"	"2"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"x"	644	33109	""
"2364"	"14"	"24"	"2"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	2815	4939	"t2"
"2569"	"15"	"49"	"2"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"q"	484	13435	""
"2724"	"16"	"24"	"2"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	2815	4939	"t2"
"2960"	"17"	"80"	"2"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	771	81786	"t2"
"3086"	"18"	"26"	"2"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"x"	1009	3832	""
"3261"	"19"	"21"	"2"	"m"	"3"	"14"	"2"	1	"S14C3T2"	0	NA	NA	"m"	519	43024	"t2"
"3566"	"20"	"146"	"2"	"m"	"3"	"14"	"2"	0	"S14C3T2"	0	NA	NA	"x"	727	22706	""
"122"	"1"	"122"	"1"	"m"	"3"	"14"	"3"	0	"S14C3T3"	0	NA	NA	"q"	425	22700	""
"244"	"2"	"64"	"1"	"m"	"3"	"14"	"3"	0	"S14C3T3"	0	NA	NA	"p"	690	19394	""
"393"	"3"	"33"	"1"	"m"	"3"	"14"	"3"	0	"S14C3T3"	0	NA	NA	"p"	315	20948	""
"608"	"4"	"68"	"1"	"m"	"3"	"14"	"3"	1	"S14C3T3"	0	NA	NA	"m"	443	60402	"t3"
"739"	"5"	"19"	"1"	"m"	"3"	"14"	"3"	1	"S14C3T3"	0	NA	NA	"m"	1289	15911	"t3"
"911"	"6"	"11"	"1"	"m"	"3"	"14"	"3"	0	"S14C3T3"	0	NA	NA	"q"	320	9321	""
